iter	Passed	Remaining
399	53898	215595
400	54035	215468
401	54159	215290
402	54315	215241
403	54456	215130
404	54593	215004
405	54728	214869
406	54870	214764
407	55004	214624
408	55147	214523
409	55283	214391
410	55424	214281
411	55561	214155
412	55697	214025
413	55828	213875
414	55965	213747
415	56123	213701
416	56265	213592
417	56396	213441
418	56531	213309
419	56672	213194
420	56812	213081
421	56950	212955
422	57086	212824
423	57220	212688
424	57356	212557
425	57492	212426
426	57612	212236
427	57746	212096
428	57886	211979
429	58024	211855
430	58162	211731
431	58298	211601
432	58432	211465
433	58572	211347
434	58706	211207
435	58830	211034
436	58965	210900
437	59096	210749
438	59234	210627
439	59368	210487
440	59506	210365
441	59633	210199
442	59766	210061
443	59909	209954
444	60046	209826
445	60189	209719
446	60328	209598
447	60455	209436
448	60594	209314
449	60734	209195
450	60869	209063
451	61005	208931
452	61141	208798
453	61273	208653
454	61411	208529
455	61546	208392
456	61686	208277
457	61818	208132
458	61954	208001
459	62089	207864
460	62243	207792
461	62381	207668
462	62519	207542
463	62654	207408
464	62804	207321
465	62941	207192
466	63079	207067
467	63216	206938
468	63343	206778
469	63478	206641
470	63616	206516
471	63754	206390
472	63888	206252
473	64016	206093
474	64150	205958
475	64286	205824
476	64421	205689
477	64556	205555
478	64693	205425
479	64830	205297
480	64955	205128
481	65091	204996
482	65223	204852
483	65355	204708
484	65495	204588
485	65630	204454
486	65770	204335
487	65906	204202
488	66041	204065
489	66175	203928
490	66317	203814
491	66452	203679
492	66590	203553
493	66721	203406
494	66857	203275
495	66987	203123
496	67121	202984
497	67251	202834
498	67373	202661
499	67512	202536
500	67645	202397
501	67782	202268
502	67918	202135
503	68051	201993
504	68222	201966
505	68354	201820
506	68486	201676
507	68624	201551
508	68775	201463
509	68909	201323
510	69047	201197
511	69185	201070
512	69313	200915
513	69448	200780
514	69586	200652
515	69723	200523
516	69861	200395
517	69993	200252
518	70130	200122
519	70265	199987
520	70398	199845
521	70537	199721
522	70673	199588
523	70805	199445
524	70939	199305
525	71081	199189
526	71216	199055
527	71351	198918
528	71487	198787
529	71624	198657
530	71762	198530
531	71901	198403
532	72036	198269
533	72176	198147
534	72314	198019
535	72448	197881
536	72584	197747
537	72721	197619
538	72852	197471
539	72983	197325
540	73123	197204
541	73259	197071
542	73398	196944
543	73529	196800
544	73661	196657
545	73799	196527
546	73932	196386
547	74071	196261
548	74207	196130
549	74342	195993
550	74477	195857
551	74616	195731
552	74753	195603
553	74892	195476
554	75025	195335
555	75166	195217
556	75251	194950
557	75389	194822
558	75524	194688
559	75660	194556
560	75798	194427
561	75938	194305
562	76078	194182
563	76211	194041
564	76344	193900
565	76487	193786
566	76625	193657
567	76752	193501
568	76887	193367
569	77012	193208
570	77148	193074
