iter	Logloss
0	0.6420239036
1	0.5975897861
2	0.5578269684
3	0.5235469063
4	0.4934516887
5	0.4689352781
6	0.4475458631
7	0.4266215539
8	0.4097829663
9	0.3948942154
10	0.3801046811
11	0.3683482023
12	0.3577567343
13	0.3466980434
14	0.3369655047
15	0.3293729581
16	0.3225487208
17	0.3152469009
18	0.3087974229
19	0.3038908246
20	0.2994083816
21	0.2944557026
22	0.2900750506
23	0.2860338393
24	0.282963546
25	0.280215585
26	0.2770049906
27	0.2746867615
28	0.2719380215
29	0.2694753609
30	0.2676558545
31	0.2660112294
32	0.2640113981
33	0.2626076858
34	0.2609093397
35	0.2596882301
36	0.2581680839
37	0.2567883691
38	0.2555257778
39	0.2543882233
40	0.2535799029
41	0.2524118667
42	0.2517344828
43	0.2507414153
44	0.2499079535
45	0.24901016
46	0.2478929843
47	0.2468818989
48	0.2459695404
49	0.2451407394
50	0.244478462
51	0.2437358476
52	0.2430253558
53	0.2423841223
54	0.2419122142
55	0.2414415479
56	0.2410316063
57	0.2405626195
58	0.2400735782
59	0.2397566057
60	0.239346376
61	0.238956919
62	0.2385775765
63	0.2382176577
64	0.2378883406
65	0.2375904808
66	0.2373149221
67	0.2370409972
68	0.2367428754
69	0.2365677275
70	0.236347507
71	0.2360801754
72	0.235898621
73	0.2357251407
74	0.2355964141
75	0.2354667353
76	0.2353563653
77	0.2352116091
78	0.2350174955
79	0.2348232765
80	0.2346607086
81	0.2345443864
82	0.2343918459
83	0.2342972165
84	0.2341566506
85	0.2340765117
86	0.233978196
87	0.2338829431
88	0.233819437
89	0.233705674
90	0.2336332254
91	0.2335271737
92	0.2334339501
93	0.2333760131
94	0.2333129464
95	0.2332180585
96	0.2331730385
97	0.2330933431
98	0.2330155864
99	0.2329484692
100	0.2328817286
101	0.2328264162
102	0.2327807191
103	0.2327336677
104	0.2327025987
105	0.2326374013
106	0.2325795159
107	0.2325354888
108	0.232495436
109	0.2324355047
110	0.2324012469
111	0.2323498421
112	0.2323020816
113	0.2322547443
114	0.2322027811
115	0.2321631824
116	0.2321155121
117	0.2320845884
118	0.2320418052
119	0.2320113771
120	0.2319676979
121	0.2319382411
122	0.2319089873
123	0.2318792224
124	0.2318543769
125	0.2318302663
126	0.2317949211
127	0.2317663909
128	0.2317290354
129	0.2317074339
130	0.2316822193
131	0.2316569088
132	0.2316300206
133	0.2316078027
134	0.2315845289
135	0.2315587711
136	0.2315251191
137	0.2314965936
138	0.2314777002
139	0.2314472996
140	0.2314295301
141	0.2314019867
142	0.2313790208
143	0.231357086
144	0.2313433813
145	0.2313302253
146	0.2313131237
147	0.2312856008
148	0.2312637975
149	0.2312346606
150	0.2312209272
151	0.2311983944
152	0.2311813915
153	0.2311551633
154	0.2311301464
155	0.2311064811
156	0.2310836536
157	0.2310471932
158	0.2310272566
159	0.2310104135
160	0.2309930448
161	0.230977168
162	0.2309571662
163	0.2309377255
164	0.2309067874
165	0.2308919657
166	0.2308751557
167	0.2308605112
168	0.2308451995
169	0.2308306399
170	0.2308141336
171	0.2308026239
172	0.2307907461
173	0.230771724
174	0.2307512823
175	0.2307338673
176	0.2307220478
177	0.2307062583
178	0.230694041
179	0.23067654
180	0.2306451867
181	0.2306360827
182	0.2306213753
183	0.2306092071
184	0.2306002969
185	0.2305840129
186	0.2305673744
187	0.2305566508
188	0.2305448228
189	0.2305310481
190	0.2305154074
191	0.230500731
192	0.2304873238
193	0.2304726521
194	0.2304458656
195	0.2304356205
196	0.2304244258
197	0.2304136113
198	0.230401851
199	0.2303932441
200	0.2303748344
201	0.2303652596
202	0.2303543716
203	0.2303382689
204	0.2303280003
205	0.2303197583
206	0.2303099982
207	0.2303011134
208	0.2302926032
209	0.2302643095
210	0.2302506885
211	0.2302372547
212	0.2302262906
213	0.2302178188
214	0.2302108519
215	0.2302045059
216	0.2301962401
217	0.2301851121
218	0.2301742882
219	0.2301491915
220	0.2301119942
221	0.230100631
222	0.23009216
223	0.2300819967
224	0.2300749751
225	0.230061903
226	0.2300552225
227	0.2300472066
228	0.2300355894
229	0.2300221209
230	0.2300114445
231	0.230004121
232	0.2299943641
233	0.2299823364
234	0.2299588636
235	0.2299512176
236	0.2299269638
